Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2022,Australia,Queensland,Coffee,-2.36,2257.09,8.8,1.81,2,54.53,44.37,91.34,86.28,Organic Farming,204.72,2.2823823856765264,7.722274602196952,5.326516020906715,-0.3056094378369542,-0.766949152542373,-0.9671111803714095,2.3337526850602073,5.569599999999999,7444.2384,-0.33979555646534826,0.7930310062673804,0.3289986996098829,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,22,1,3,5,1,31,0
2001,Australia,Victoria,Rice,22.51,1178.95,25.41,2.484,4,90.7,34.89,26.19,45.56,Drought-resistant Crops,1079.35,3.273742726309041,7.073227343680599,6.985040341691679,3.1824228045081866,0.11035095513105286,0.14543503892976636,2.1336558568140496,506.7001000000001,2075.7136,0.09360104765346525,0.7587645724380331,0.6585223967422921,Moderate,Wet,Moderate-Wet,1,29,5,1,4,5,29,0
2008,Nigeria,North West,Vegetables,-3.93,2498.56,16.87,2.214,2,52.82,43.2,28.03,93.79,No Adaptation,569.19,2.8831233291713367,7.823869995366475,6.345969638618716,-0.5023089599299914,-0.5633587786259542,-0.7336191677280754,2.2010746381920008,15.4449,8796.564100000001,-0.2254733841196346,0.7679172020145059,0.3225412339645693,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,10,8,2,5,1,31,0
2018,Canada,Quebec,Cotton,29.34,1096.97,28.46,2.8800000000000003,9,73.94,43.98,27.35,32.26,Drought-resistant Crops,488.75,3.3830334110344844,7.001218299291841,6.19389505682465,4.190699210588489,0.098159509202454,0.1153044789036975,1.8308701996917742,860.8356,1040.7076,0.08948240079715397,0.8513069928917245,1.4670446491849751,Very Hot,Moderate,Very Hot-Moderate,3,21,3,1,6,2,38,0
2004,India,Tamil Nadu,Cotton,30.05,1196.52,23.34,2.232,5,87.23,27.67,12.17,74.81,No Adaptation,1009.04,3.1921210875593813,7.08800803060698,6.917745213011485,4.23955501605529,0.07427620632279534,0.10622699126653515,2.1671312031275813,903.0025,5596.5361,0.06207686150068143,0.6992215955399529,0.8480926430517711,Very Hot,Wet,Very Hot-Wet,6,28,3,2,6,5,41,0
2006,France,Provence-Alpes-Cote d’Azur,Wheat,34.29,2573.35,3.62,3.27,1,74.36,27.9,6.18,96.56,No Adaptation,1054.84,1.5303947050936475,7.853352354048266,6.962091937635112,4.366288236427352,0.09536307961504813,0.0446309333652274,4.549213294101857,1175.8040999999998,9323.8336,0.0370579515476123,2.1367036811591054,0.17611940298507464,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,19,9,2,6,1,37,0
1996,Argentina,Patagonia,Wheat,10.92,1255.65,7.96,4.42,3,54.68,33.56,3.78,77.83,Water Management,1257.32,2.192770226986839,7.136204729086528,7.137532776932387,1.530225156726665,0.40476190476190477,0.20080313433945413,3.2550299566682446,119.2464,6057.5089,0.32235249055222776,2.0157150738377516,0.46804511278195493,Very Cold,Wet,Very Cold-Wet,0,17,9,4,5,5,35,0
2021,China,North,Corn,9.97,2317.74,24.89,0.738,7,30.82,23.85,36.39,31.99,Organic Farming,205.14,3.2538567937634464,7.748779213677982,5.328555549608646,1.286654287736211,0.07402206619859578,0.32636477369743694,1.6376121898854623,99.40090000000001,1023.3600999999999,0.03193717422946309,0.22680776898802024,1.162230671736375,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,8,2,3,5,1,31,0
2003,Australia,Western Australia,Sugarcane,0.63,2782.42,1.05,2.21,1,42.67,16.45,25.28,73.61,Water Management,861.68,0.7178397931503169,7.931435666416574,6.76004382278378,0.07943076468079509,3.507936507936508,1.139428243095741,9.417204071561153,0.39690000000000003,5418.4321,1.2607501771610712,3.0786813730417175,0.1621223286661754,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,33,7,4,5,1,31,0
1997,France,Nouvelle-Aquitaine,Rice,6.38,1250.06,28.1,0.855,10,34.78,33.99,81.2,56.03,Water Management,253.83,3.370738174177447,7.131746470947484,5.540596656170722,0.8945915318204503,0.13401253918495298,0.5283288674259321,1.6437339152047252,40.7044,3139.3609,0.10720488551345775,0.25365363781440653,1.675531914893617,Very Cold,Wet,Very Cold-Wet,5,14,5,4,5,5,35,0
2015,India,Maharashtra,Coffee,22.51,752.97,2.22,3.08,1,55.57,7.21,97.0,67.96,Crop Rotation,1309.4,1.169381359556317,6.625352579417992,7.1780877130988054,3.397555032758333,0.13682807641048422,0.051949416239729755,6.138363378583607,506.7001000000001,4618.561599999999,0.18171783259689522,2.6338712985544803,0.177938808373591,Moderate,Dry,Moderate-Dry,6,5,1,0,4,0,24,0
2019,China,North,Soybeans,-2.95,230.34459999999999,18.97,0.5850000000000001,0,42.65,6.1,13.01,36.08,Organic Farming,117.3,2.994231147427724,5.4439083468119955,4.773223770984341,-0.5480984412831859,-0.19830508474576272,-1.0149936092975336,1.5941400432912167,8.7025,1301.7664,-0.9159165153838749,0.195375697865731,0.0,Very Cold,Very Dry,Very Cold-Very Dry,4,8,6,3,5,3,33,0
2005,Russia,Central,Soybeans,20.04,1582.6,14.74,2.52,9,98.93020000000001,8.3,62.7,58.02,Drought-resistant Crops,1163.83,2.756205242989257,7.3674560152319755,7.06033043260526,2.7200705316147054,0.125748502994012,0.13753519176593101,2.5616127284294476,401.60159999999996,3366.3204000000005,0.0794569082484595,0.9143005610376536,1.4783221713077195,Mild,Very Wet,Mild-Very Wet,8,1,6,1,3,4,22,0
1999,Canada,Ontario,Barley,3.52,751.47,16.91,0.55,4,42.73,49.46,48.94,71.57,Drought-resistant Crops,232.33,2.8853592160726205,6.623361128718682,5.452453760558967,0.5314522236659258,0.1559659090909091,0.8197043227479035,1.8896966901682777,12.3904,5122.264899999999,0.2075477518608981,0.1902709364372545,0.6695706285003111,Very Cold,Dry,Very Cold-Dry,3,15,0,1,5,0,30,0
1995,Russia,Central,Fruits,27.78,1130.47,19.92,1.944,6,60.21,8.87,76.68,35.85,No Adaptation,604.23,3.040705639196722,7.031272951244419,6.405608551075583,3.950920436829778,0.06997840172786177,0.10945664647936365,2.1066190914710785,771.7284000000001,1285.2225,0.06190204227256077,0.6393252852037187,0.9855481142051463,Very Hot,Wet,Very Hot-Wet,8,1,4,2,6,5,41,0
2008,China,East,Sugarcane,5.35,619.88,0.77,0.88,6,15.94,8.7,67.42,89.53,Water Management,260.7,0.5709795465857378,6.431137826545883,5.5671988095361,0.8318901171604101,0.16448598130841122,0.08311884509559733,10.988803646144989,28.622499999999995,8015.6209,0.2653513281738582,1.9789252499746748,1.0117356392835084,Very Cold,Dry,Very Cold-Dry,4,2,7,4,5,0,30,0
1990,Argentina,Northeast,Vegetables,6.79,444.01,13.18,2.484,6,66.28,21.31,33.35,98.73,Crop Rotation,697.27,2.6518325211039815,6.098096753823863,6.548605847451244,1.113462162721881,0.3658321060382916,0.3905497085572874,2.4694643403517054,46.1041,9747.6129,0.8239276278423721,0.9367107387935225,0.9870925399256181,Very Cold,Very Dry,Very Cold-Very Dry,0,11,8,0,5,3,33,0
2024,Canada,Prairies,Fruits,27.33,1565.27,4.52,2.35,9,48.36,4.82,68.55,55.67,Drought-resistant Crops,673.21,1.7083778602890038,7.356452275482302,6.51354163508391,3.715106001718498,0.08598609586534944,0.06250925211448971,3.8127054830727105,746.9288999999999,3099.1489,0.05493371486411255,1.3755739023698503,1.4407114624505928,Very Hot,Very Wet,Very Hot-Very Wet,3,18,4,1,6,4,40,0
2017,India,Punjab,Sugarcane,-4.08,673.41,3.98,0.95,9,76.06,33.19,88.57,75.49,Water Management,346.48,1.6054298910365616,6.513838234572967,5.85070710939172,-0.6263588153517411,-0.23284313725490194,-0.39348771839131413,3.644324266078136,16.6464,5698.740099999999,-0.34576726994684065,0.5917418165091115,1.6049535603715168,Very Cold,Dry,Very Cold-Dry,6,20,7,4,5,0,30,0
2007,Brazil,Southeast,Fruits,12.12,2805.58,17.61,3.402,2,82.36,14.62,15.15,62.57,No Adaptation,1640.03,2.9236990706541595,7.939721939231643,7.403079372458635,1.526501821192607,0.2806930693069307,0.24122929625859402,2.532093486215817,146.8944,3915.0049,0.10004814309587703,1.1635944458671061,0.3476190476190476,Very Cold,Extremely Wet,Very Cold-Extremely Wet,2,27,4,2,5,1,31,0
2023,Russia,Volga,Cotton,7.37,2826.11,5.81,1.56,8,25.68,42.52,41.7,33.86,Organic Farming,383.65,1.918392120161421,7.947010267442433,5.952333829904943,0.9273927869696674,0.21166892808683854,0.26029743828513174,3.1027722473151584,54.316900000000004,1146.4995999999999,0.07489762538855123,0.8131809881854267,1.3673870333988212,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,30,3,3,5,1,31,0
2015,Australia,Queensland,Coffee,20.85,2305.0,15.65,2.142,8,45.81,26.0,81.0,83.52,Organic Farming,954.98,2.812410216426453,7.743269700829004,6.862736992330473,2.6926609566198856,0.10273381294964028,0.13488778016433828,2.440162161354437,434.7225000000001,6975.590399999999,0.04456998392609123,0.7616243133697972,1.3159947984395317,Mild,Extremely Wet,Mild-Extremely Wet,1,22,1,3,3,1,19,0
2003,France,Ile-de-France,Soybeans,25.38,2523.97,7.73,2.12,7,73.38,27.14,89.13,43.59,Crop Rotation,1051.3,2.166765369851511,7.833984460450759,6.9587335237467665,3.239730705125711,0.0835303388494878,0.08537294601463795,3.2115768604072024,644.1443999999999,1900.0881000000004,0.03309482238278894,0.9784169663673756,1.1666666666666667,Hot,Extremely Wet,Hot-Extremely Wet,5,4,6,0,2,1,13,0
2000,Nigeria,North Central,Corn,17.84,2013.66,14.9,2.9,0,37.47,5.28,80.59,50.48,Drought-resistant Crops,758.43,2.766319109226186,7.608205725652202,6.632568151889672,2.344836699124706,0.1625560538116592,0.1550627303377907,2.3976149858376172,318.2656,2548.2303999999995,0.08072666379212935,1.048324464928129,0.0,Cool,Extremely Wet,Cool-Extremely Wet,7,9,2,1,1,1,7,0
2016,India,Tamil Nadu,Coffee,14.49,2937.51,1.86,1.84,9,34.83,2.19,79.08,98.01,Organic Farming,621.39,1.0508216248317612,7.985657929143732,6.433566905897062,1.814502966263883,0.12698412698412698,0.07252047100288207,6.1224157876719465,209.9601,9605.9601,0.043228491812496626,1.7510107867209033,1.526566757493188,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,28,1,3,5,1,31,0
2014,Russia,Central,Wheat,34.62,1800.93,14.49,3.91,2,64.19,3.62,21.15,86.54,Drought-resistant Crops,1890.71,2.740194654428777,7.496613591686798,7.545236460908108,4.6194190985650065,0.11290788333814611,0.07912776940308337,2.7535403182811455,1198.5443999999998,7489.1716000000015,0.06269420984610512,1.426905929358176,0.3285160380683821,Very Hot,Extremely Wet,Very Hot-Extremely Wet,8,1,9,1,6,1,37,0
2013,Nigeria,South West,Fruits,34.13,1201.62,14.41,1.06,2,22.34,9.47,11.84,92.74,No Adaptation,467.43,2.7350166493320245,7.092257789100808,6.149386677494962,4.8122898257378734,0.031057720480515676,0.08013526660802883,2.248390948185574,1164.8569000000002,8600.7076,0.02584654090354328,0.38756619644669615,0.3385579937304075,Very Hot,Wet,Very Hot-Wet,7,26,4,2,6,5,41,0
2003,India,Maharashtra,Sugarcane,3.68,2185.4,3.82,2.31,7,73.01,8.76,56.22,32.69,Water Management,1099.19,1.5727739280625088,7.6900116346138585,7.003238171143551,0.4785428390557676,0.6277173913043478,0.42738421958220346,4.452793911564137,13.5424,1068.6361,0.28723226471325514,1.4687425565641692,1.245571658615137,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,5,7,4,5,1,31,0
2016,Brazil,North,Wheat,26.22,268.1,6.47,3.438,1,39.36,0.97,79.5,85.02,Organic Farming,775.7,2.010894999144726,5.59508305773286,6.655054175425602,4.686257510290544,0.1311212814645309,0.07669317311764783,3.3094985955289213,687.4884,7228.4003999999995,0.48907602187441584,1.7096864836116508,0.16603295310519645,Hot,Very Dry,Hot-Very Dry,2,8,9,3,2,3,15,0
1998,Canada,Quebec,Barley,-0.91,1152.65,11.98,1.52,7,98.09,21.6,78.35,40.17,Drought-resistant Crops,511.64,2.563409711275944,7.050686108171172,6.239573844439939,-0.12906545349471507,-1.6703296703296704,-2.8169337486548836,2.4340915215360464,0.8281000000000001,1613.6289000000002,-1.4491213033702077,0.5929602253255941,1.1410347271438694,Very Cold,Wet,Very Cold-Wet,3,21,0,1,5,5,35,1
2014,China,South,Soybeans,7.25,772.7,16.37,2.493,6,85.36,1.47,13.85,85.04,Drought-resistant Crops,430.6,2.854744580253014,6.651184201555409,6.0674992333839795,1.0900314560983826,0.34386206896551724,0.39375787313834676,2.1254087932610144,52.5625,7231.801600000001,0.4450136779675387,0.8732830310791052,1.0154882154882157,Very Cold,Dry,Very Cold-Dry,4,24,6,1,5,0,30,0
1999,USA,Northeast,Corn,20.93,2829.09,4.91,1.14,5,39.77,35.56,76.66,65.75,Organic Farming,567.25,1.776645831418007,7.948063792251748,6.342561462732653,2.6333457489865424,0.0544672718585762,0.08488513289144801,3.5699638895786108,438.06489999999997,4323.0625,0.01925257657358946,0.6416585567254693,0.8225771166046817,Mild,Extremely Wet,Mild-Extremely Wet,9,11,2,3,3,1,19,0
1994,Canada,British Columbia,Corn,30.96,1850.55,7.3,2.7,1,38.0,10.34,41.97,77.35,Drought-resistant Crops,329.12,2.1162555148025524,7.5237784051200105,5.799456224724484,4.114953728426052,0.0872093023255814,0.0683545062920721,2.7404328939294342,958.5216,5983.022499999999,0.04712615294133171,1.275838376374845,0.16724257083621286,Very Hot,Extremely Wet,Very Hot-Extremely Wet,3,0,2,1,6,1,37,0
1998,Brazil,North,Cotton,21.02,1424.18,18.82,1.467,0,11.94,0.5199000000000001,48.61,86.98,Drought-resistant Crops,221.58,2.986691528901842,7.262053400515057,5.405286587545279,2.894498131686716,0.069790675547098,0.14208808415327506,1.8097907116416256,441.8404,7565.5204,0.04900411152178657,0.4911789469397907,0.0,Moderate,Very Wet,Moderate-Very Wet,2,8,3,1,4,4,28,0
2019,Canada,Quebec,Corn,28.74,2625.84,7.52,1.34,7,96.36,33.53,27.45,68.27,Crop Rotation,249.1,2.1424163408412245,7.873536881854297,5.521860837883573,3.6502019907007077,0.046624913013222,0.0745447578580802,2.577398581507926,825.9875999999999,4660.7928999999995,0.01775618964339868,0.6254619956239907,1.1410347271438694,Very Hot,Extremely Wet,Very Hot-Extremely Wet,3,21,2,0,6,1,37,0
2019,France,Ile-de-France,Rice,11.81,2975.9510999999998,13.06,4.6,9,22.19,17.73,41.98,44.6,Drought-resistant Crops,1897.4970000000005,2.6433338863825186,7.998654934941965,7.548817789473194,1.4754288497865826,0.38950042337002533,0.2238216669248534,2.8959111978136716,139.4761,1989.16,0.13012582380749596,1.7402266220311793,1.5,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,4,5,1,5,1,31,0
2020,Argentina,Northwest,Soybeans,12.6,2019.21,7.41,4.05,6,38.46,0.5199000000000001,98.41,34.84,Crop Rotation,1416.05,2.1294214739848565,7.610956745387782,7.256332524883253,1.6555080289525443,0.3214285714285714,0.16900170428451242,3.4076544326869396,158.76,1213.8256000000003,0.15918531080401319,1.9019250296284003,0.9769281476598549,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,12,6,0,5,1,31,0
1999,China,South,Wheat,1.18,2597.93,11.59,0.56,5,14.28,12.52,70.41,75.46,Crop Rotation,143.91,2.532902848056256,7.862855100842842,4.976112860057833,0.15007271339306663,0.47457627118644075,2.1465278373358103,1.9645889157874692,1.3923999999999999,5694.211599999999,0.18267477229426535,0.22109020108281802,0.8462401795735129,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,9,0,5,1,31,0
2006,Argentina,Northeast,Soybeans,1.54,2100.28,26.0,1.386,1,60.6,21.17,96.49,58.04,Organic Farming,367.25,3.295836866004329,7.65030196183685,5.90876205534274,0.20129924383144787,0.8999999999999999,2.14015380909372,1.792795667859059,2.3716,3368.6416,0.4285142933323175,0.42053052270159885,0.16451542332093635,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,11,6,3,5,1,31,0
1999,Russia,Central,Wheat,-0.21,1151.46,5.61,2.84,8,39.15,14.88,51.83,60.88,No Adaptation,1233.72,1.888583653863595,7.049654067110144,7.1185995027092925,-0.029788695729021073,-4.209959302325581,-6.7632160081153705,3.7692794217223704,0.04409999999999999,3706.3744,-3.919497977866039,1.503772413888065,1.3140641522735284,Very Cold,Wet,Very Cold-Wet,8,1,9,2,5,5,35,1
1998,Argentina,Northwest,Fruits,34.62,341.36,27.13,2.52,6,55.89,33.44,35.34,57.22,Crop Rotation,258.15,3.3368366225017656,5.835862815013409,5.557407044635715,5.433946483181139,0.07258064516129033,0.0961070455789679,1.6654717246746995,1198.5443999999998,3274.1284,0.21262199777739138,0.755206288197188,0.9769281476598549,Very Hot,Very Dry,Very Hot-Very Dry,0,12,4,0,6,3,39,0
1999,Russia,Northwestern,Cotton,25.43,272.31,7.45,0.8190000000000001,2,33.92,1.58,87.08,99.3502,No Adaptation,234.67,2.1341664413690826,5.610606682092659,5.462432521400004,4.532486670499429,0.03220605583955958,0.08392317897636975,2.5595157038903746,646.6849,9870.462244,0.11826982424280996,0.38375638568967746,0.34923076923076923,Hot,Very Dry,Hot-Very Dry,8,13,3,2,2,3,15,0
1993,Australia,Queensland,Rice,-2.15,2759.73,12.12,2.21,2,48.13,20.97,83.8,39.15,Crop Rotation,400.03,2.574137783515943,7.923250416492777,5.994036237475799,-0.2713532814165044,-1.027906976744186,-1.197273387681834,2.3285607615334065,4.6225,1532.7224999999999,-0.3724665009780616,0.8585399018468322,0.3289986996098829,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,22,5,0,5,1,31,0
2007,USA,South,Vegetables,26.09,1985.37,4.9,3.51,9,26.47,2.24,54.1,56.61,No Adaptation,869.41,1.7749523509116738,7.594064131381561,6.768964365006268,3.435578044723931,0.13453430433116137,0.06803190306292349,3.8136034252015305,680.6881,3204.6920999999998,0.06776283732058072,1.9775178743233015,1.5232323232323233,Hot,Extremely Wet,Hot-Extremely Wet,9,24,8,2,2,1,13,0
2014,China,East,Cotton,29.57,2871.61,29.41,1.512,2,18.56,35.02,22.32,65.2,Organic Farming,209.76,3.4147715016892732,7.96297630315855,5.350720045341085,3.713435639419262,0.05113290497125465,0.11548094358096968,1.5669335540296343,874.3849,4251.04,0.017806354265117705,0.4427821888674015,0.3372452130945028,Very Hot,Extremely Wet,Very Hot-Extremely Wet,4,2,3,3,6,1,37,0
1997,Argentina,Pampas,Sugarcane,8.1,2228.95,13.82,0.55,4,95.01,35.94,45.62,58.58,Organic Farming,251.02,2.695977619867941,7.709734442678134,5.529508449441547,1.0506198443310193,0.06296296296296297,0.332836743193573,2.051021643759937,65.61,3431.6164,0.028247813079235948,0.18917070981656803,0.6752072343632253,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,16,7,3,5,1,31,0
2008,Brazil,South,Sugarcane,15.29,2970.42,13.72,3.85,8,26.13,17.48,28.94,80.56,No Adaptation,1861.47,2.6892071133007303,7.996795232014551,7.529658842741439,1.9120159459364006,0.2517985611510792,0.17588012513412232,2.799954977621468,233.78409999999997,6489.913600000001,0.08476867283114144,1.431648749164029,1.3539842873176207,Cold,Extremely Wet,Cold-Extremely Wet,2,24,7,2,0,1,1,0
2020,USA,Northeast,Rice,-0.02,1175.62,28.16,1.899,6,65.45,41.88,96.79,86.26,Organic Farming,302.58,3.3727979071404572,7.070401200416095,5.715645167198713,-0.002828693794465722,-4.209959302325581,-6.7632160081153705,1.6946301926653473,0.0324,7440.787600000001,-3.919497977866039,0.5630340305832376,0.9870925399256181,Very Cold,Wet,Very Cold-Wet,9,11,5,3,5,5,35,1
2017,France,Ile-de-France,Wheat,31.62,1535.65,20.34,3.159,7,26.52,16.79,92.72,97.21,No Adaptation,1327.36,3.060583245873607,7.337360001276782,7.191700377637009,4.3094519002063105,0.09990512333965844,0.0967926390219357,2.3497810057390627,999.8244000000001,9449.784099999999,0.06505722224442968,1.032156208872633,1.1666666666666667,Very Hot,Very Wet,Very Hot-Very Wet,5,4,9,2,6,4,40,0
1997,Canada,Ontario,Sugarcane,24.28,1573.64,6.18,3.99,8,11.01,40.68,19.89,78.06,No Adaptation,1298.98,1.9712993830601329,7.361781953704732,7.170104158715899,3.2981145261686775,0.164332784184514,0.08119025465651288,3.637247705919452,589.5184,6093.363600000001,0.10442844880945705,2.0240456798632747,1.3391412570006223,Warm,Very Wet,Warm-Very Wet,3,15,7,2,7,4,46,0
1995,Canada,British Columbia,Wheat,21.62,730.22,6.73,3.13,4,30.42,36.33,74.72,43.35,Water Management,382.74,2.0451088625993306,6.594714372063466,5.949965239929953,3.2783830777549157,0.14477335800185012,0.09459337939867393,2.909363578996746,467.42440000000005,1879.2225,0.19825991893107575,1.5304808742659177,0.6689702833448514,Moderate,Dry,Moderate-Dry,3,0,9,4,4,0,24,0
2008,France,Grand Est,Vegetables,14.35,1597.77,6.21,3.83,7,47.78,43.89,29.66,71.99,Organic Farming,1108.46,1.9754689512968577,7.376989862588066,7.01162868944695,1.9452378635864895,0.2668989547038328,0.137663341553788,3.5493489709589965,205.92249999999999,5182.5601,0.16704466519200684,1.9387801552060224,1.2287491361437457,Very Cold,Very Wet,Very Cold-Very Wet,5,3,8,3,5,4,34,0
2013,Nigeria,South West,Fruits,33.97,2960.81,14.06,3.73,4,55.9,34.63,64.96,86.09,No Adaptation,1169.71,2.7120422223717475,7.993555846922911,7.065365681347155,4.2496731930729705,0.10980276714748308,0.07983639159175,2.605182774465922,1153.9608999999998,7411.4881000000005,0.037085381077300826,1.3753473191645311,0.677115987460815,Very Hot,Extremely Wet,Very Hot-Extremely Wet,7,26,4,2,6,1,37,0
1992,Russia,Volga,Wheat,26.64,1042.89,24.35,1.863,9,78.68,28.5,43.98,44.6,Crop Rotation,417.17,3.232778730037192,6.950709398906735,6.0358880484099044,3.8327023144127073,0.06993243243243243,0.12135055292932403,1.8670897554255015,709.6896,1989.16,0.06705638411762739,0.5762844152276907,1.538310412573674,Hot,Moderate,Hot-Moderate,8,30,9,0,2,2,14,0
2023,Nigeria,South West,Rice,-2.88,1513.27,11.3,1.95,10,51.69,35.7,89.14,86.03,Organic Farming,581.04,2.509599262378372,7.32268875363251,6.366539173892078,-0.39329815821699926,-0.6770833333333334,-0.8713886327702681,2.536874818754308,8.2944,7401.1609,-0.4474306193431003,0.7770164859516119,1.6927899686520376,Very Cold,Very Wet,Very Cold-Very Wet,7,26,5,3,5,4,34,0
1991,France,Provence-Alpes-Cote d’Azur,Fruits,34.62,2768.25,6.01,3.05,5,23.73,43.05,63.27,77.25,No Adaptation,450.25,1.9473377010464987,7.9263318043970425,6.112021509647091,4.415661728996022,0.08714285714285713,0.05563822002989997,3.1386551528081097,1198.5443999999998,5967.5625,0.031479402923456024,1.5662409238833772,0.8805970149253731,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,19,4,2,6,1,37,0
1997,USA,South,Sugarcane,18.74,230.34459999999999,4.17,2.457,9,65.29,22.81,88.15,65.92,No Adaptation,309.35,1.6428726885203377,5.4439083468119955,5.7377006928596614,3.529453793834507,0.13110992529348986,0.0876666322582891,3.4924804173519695,351.1875999999999,4345.4464,0.6514131529462407,1.4955510656232958,1.5232323232323233,Cool,Very Dry,Cool-Very Dry,9,24,7,2,1,3,9,0
2011,India,Maharashtra,Cotton,6.36,2238.25,23.09,0.99,5,66.78,35.63,59.11,73.96,Organic Farming,309.44,3.18179681662678,7.713896267355305,5.737990645985938,0.82448606768477,0.15566037735849056,0.500282518337544,1.8033805980323843,40.449600000000004,5470.0815999999995,0.06954557237059782,0.3111449464109906,0.889694041867955,Very Cold,Extremely Wet,Very Cold-Extremely Wet,6,5,3,3,5,1,31,0
2006,China,South,Rice,6.06,2776.12,9.31,2.91,5,67.67,11.39,13.23,84.15,No Adaptation,1075.94,2.3331142980288684,7.929169698472571,6.9818789652981055,0.7642666546999697,0.48019801980198024,0.3850023594107044,2.992514756433813,36.7236,7081.222500000001,0.172974518321247,1.2472599402688989,0.8462401795735129,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,24,5,2,5,1,31,0
2016,Brazil,North,Wheat,1.1,1349.64,2.64,0.59,10,20.72,36.69,49.03,93.72,No Adaptation,102.8879,1.2919836816486494,7.208333833168938,4.6433124129376555,0.15260114548779388,0.5363636363636363,1.1745306196805902,3.474133665636661,1.2100000000000002,8783.4384,0.3974123739394477,0.4566621145300568,1.6603295310519646,Very Cold,Wet,Very Cold-Wet,2,8,9,2,5,5,35,0
2006,China,North,Corn,4.8,1010.47,9.76,1.92,10,22.24,35.61,92.92,38.65,No Adaptation,668.66,2.3758355547336385,6.919159997245573,6.506770120895679,0.6937258282668441,0.4,0.49496574056950804,2.7387291632754316,23.04,1493.8225,0.3958553940245628,0.808136740009035,1.6603295310519646,Very Cold,Moderate,Very Cold-Moderate,4,8,2,2,5,2,32,0
2009,Russia,Siberian,Cotton,3.23,2503.2,9.31,1.01,7,26.55,28.17,84.83,94.51,Crop Rotation,216.56,2.3331142980288684,7.825724601234847,5.38247467455476,0.4127413325393955,0.3126934984520124,0.7223264080584731,2.3069914230529314,10.4329,8932.1401,0.12491750497443768,0.4328977799558721,1.2084210526315788,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,23,3,0,5,1,31,0
1990,Brazil,North,Vegetables,32.09,668.93,20.08,2.421,8,37.94,27.01,55.6,69.3,No Adaptation,447.71,3.0483247236731614,6.507173229314906,6.106376799339345,4.931480824182474,0.07544406357120596,0.09499297985893304,2.003191048485576,1029.7681000000002,4802.49,0.11278319640501394,0.7942067264680222,1.3282636248415716,Very Hot,Dry,Very Hot-Dry,2,8,8,2,6,0,36,0
2005,Canada,Ontario,Soybeans,-2.32,1653.73,29.73,0.648,6,20.21,38.44,30.79,52.24,Drought-resistant Crops,242.18,3.425239376142393,7.411393132508103,5.493801909868272,-0.3130315662009532,-0.2793103448275862,-1.4770970381080746,1.6031567348015578,5.3824,2729.0176,-0.16889718686096658,0.18909410663048798,1.0043559427504667,Very Cold,Very Wet,Very Cold-Very Wet,3,15,6,1,5,4,34,0
2020,USA,West,Corn,29.55,2463.41,2.43,2.94,9,52.76,42.85,22.12,90.83,Water Management,1297.75,1.2325602611778486,7.8097077069150105,7.169157542413437,3.7837523642319306,0.09949238578680203,0.04171100714645849,5.8164762959033816,873.2025,8250.088899999999,0.04038807416824728,2.3852789130086856,1.469504447268107,Very Hot,Extremely Wet,Very Hot-Extremely Wet,9,31,2,4,6,1,37,0
2002,China,South,Soybeans,12.53,723.38,5.34,2.82,6,76.26,8.24,17.87,99.3502,Drought-resistant Crops,1353.55,1.8468787684491346,6.585316116572351,7.211224574834247,1.90271807430284,0.22505985634477255,0.14739654975651514,3.9045467943137786,157.00089999999997,9870.462244,0.31112258611624943,1.5269004377412476,1.0154882154882157,Very Cold,Dry,Very Cold-Dry,4,24,6,1,5,0,30,0
